maliciousness	wrongdoing	malice	foul play	wrongfulness	offence	foulness	unfaithfulness	voluptuousness	evilness	iniquity	harmedness	insinuation	possessiveness	unintentional harm	prevarication	calamity	unintentionality	premeditation	attempt
thoroughfare	street	grid system	main road	street address	street grid	city street	u.s. street	a.s.	u.s. high street	u.s. expressway	route	built environment	local government district	market place	a street in washington state	popular music and tv show	expressway	popular music and adulation	popular music and place of worship
person	politician	nomenclature	political leader	leader	chief	chief of state	city	poland	manifold	state of New england	hebdomadary	state of New england.	state of Belarus	state of New england or province	state of New zealand.	state of New zealand	poland and country	national polity	country
coin	coinage	coins	monetary unit	gold coin	physical property	bill of exchange	piece of paper	piece of money	weighted unit	metal coin	cartography	paper money	monet	weight unit	concoction	banknote	fist coinage	cartouche	yellow metal coin
person	writer	female person	author	actor	actress	sportsperson	poet	director	journalist	politician	fictitious person	fictitious character	social worker	literary person	evaluator	workaholic	sexologist	satirist	thespian
person	sportsperson	working man	physicist	businessman	professional athlete	jurisconsult	writer	athlete	executive	horologist	work of art	jock	leader	sociologist	scholar	actor	author	boss	artist
chemical group	organic compound	compound	polymer	molecular biology	molecular entity	alkaloid	carbolic acid	solvator	condenser	carbenhydride	hydrochloride	alkaline	alkali metals	group	condensate	biphenylate	anhydrous metal complex	carbonate	bromine
mechanical assembly	technical specification	device	micro-organism	articula­tion	mechanics	body part	hand	muscle tissue	mechanism	bodily structure	part	physique	articulator	piece of work	piece of equipment	skeleton	work of art	metric unit	micro-organism/organic structure
fruit	grapefruit	berry	plant	carnivore	plant part	tangerine	tangeroism	nectaver	vegetable	nectavity	fruit tree	non-vegetable plant	non-indigenous plant	nectarine	non-vegetable food	ripe fruit	non-vegetable food product	citrus fruit	non-indigenous plant part
infrastructure	built environment	constructed structure	physical system	infrastructures	public building	work of art	technical specification	facility	physical structure	engineering science	civil engineering construction	constructing	planned medium	planned infrastructure	building sector	social control	technological process	work of art.	planned community
meeting	class	technical specification	group activity	class room	written document	written agreement	lecture hall	talkative show	conference	seminary	scholastic session	scholastic program	scholastic class	scholastic seminar	non-formal education	work of art	non-fiction book	non-profit organisation	non-commercial organization
piece of work	work of art	book	written communication	comic book	medium	novel	comics book	written language	non-fiction book	non-fictional medium	publication	visual art	graphic novel	nonfictional medium	literary work	fictional work of art	public service announcement	writing style and medium	fictional character
group of people	apex group	apex organisation	apex organization	local government	file format	organisational unit	local government organization	communication medium	working group	local government area	collective effort	local government.	technical specification	working-group	unit of knowledge organization	local government organisation	local group	unit of government	local government district
knowledge	nutrition	nourishment	nutriment	nutrient	physiological function	function	biochemical process	food	nutritional science	food preparation	dietetics	physiological state	dietary supplementation	social control	scientific research	dietetic science	scientific method	nutrient intake	nutriments
person	bookman	music group	writer	author	city	edifice	local government	music group and musical group	musical group	work of art	music group and music genre	music group and musical organization	music group; musical group	music group/music group	written language	musical organization	musical work	local government organization	work of art.
plant	floral arrangement	grass	orchid	perennial	flower form	procyon	pollinator	common garden herb	phytopod	taxon	herbaceous plant	plant class	pollinid	herbaceous plants	pollen group	flower plant	herbaceous perennial	plante	dicot
vegetarian	food group	diet	non-vegetarian	non-veg	animal	person	dietary supplement	food supplement	sacrificial lamb	sacrificial animal	eating habits	omnivore	agronomist	agrarian society	vegetarianism	non-nutritious food	non-vegetarianism	dietetics	nutrient rich
perspicuity	distastefulness	chemistry	natural phenomenon	inclination	disorder	quality	insufficiency	persuasion	astringency	pervasiveness	distaste	unpleasantness	symptom	odour	dilatancy	pungentness	perceptibleness	characterised by its intensity	unnaturalness
person	artist	writer	photographer	painter	music group	professional photographer	performer	literary work	author	actor	poet	rock band	rock group	work of art	band	professional musician	musician	rock ensemble	literary person
plant	verbena	flower	genus	plant name	botanical name	flowering plant	perennial	cactus	alpine flora	cylindrical shape	alpine tussock	herbaceous plant	geranium and thetis	alpine flint	alpine tussus	alpine thorn shrub	vernallaceous flowers	alpine tusk	vernallaceous plants
